timestamp,latitude,longitude,altitude,nic,nac_p,gpsOkBefore,callsign,aircraft_type,radio_horizon
4/9/2024 0:32,39.793924,36.950317,39000,0,0,0,AEE8EV,A20N,1277603.119
4/9/2024 0:35,33.664444,26.904284,37000,0,0,0,,A20N,1244412.95
4/9/2024 0:35,41.969217,35.520651,36000,4,4,0,SIA326,A388,1227481.373
4/9/2024 0:35,41.049903,36.389278,35000,0,0,0,PGT2830,A320,1210312.955
4/9/2024 0:36,35.559723,30.863342,37025,6,9,0,AEE946,A320,1244833.289
4/9/2024 0:38,41.873199,31.423395,33000,0,0,0,,B748,1175223.94
4/9/2024 0:39,34.592361,44.65147,42975,0,0,0,,GL7T,1341132.239
4/9/2024 0:44,38.215668,25.945032,39900,0,0,0,UAE7HR,A388,1292260.613
4/9/2024 0:44,41.548897,32.658459,36975,0,0,0,OMA143,B789,1243992.469
4/9/2024 0:48,37.535255,25.587038,37000,0,0,0,UAE244,B77L,1244412.95
4/9/2024 0:50,40.092137,40.638053,38000,0,0,0,FDB92M,B38M,1261117.227
4/9/2024 0:51,40.20079,27.820816,35000,0,0,0,ELY336,B739,1210312.955
4/9/2024 0:53,33.818152,35.490875,37025,0,0,0,MSC2985,A20N,1244833.289
4/9/2024 0:54,33.739517,24.729328,35000,0,0,0,CRL925,A339,1210312.955
4/9/2024 0:56,38.091881,25.905941,36975,0,0,0,WZZ1GM,A21N,1243992.469
4/9/2024 1:02,33.812008,24.652634,38325,0,0,0,,A359,1266498.681
4/9/2024 1:02,40.318567,35.717801,38975,0,0,0,OMA131,B789,1277193.565
4/9/2024 1:12,29.483368,31.313676,41000,0,8,0,,B738,1309952.621
4/9/2024 1:15,33.409058,25.620611,36000,0,0,0,,A332,1227481.373
4/9/2024 1:18,37.78688,27.815805,10725,0,0,0,,,669980.7279
4/9/2024 1:18,40.417491,36.153821,39000,0,0,0,DLH772,A359,1277603.119
4/9/2024 1:20,36.933521,25.215652,39000,0,0,0,,B738,1277603.119
4/9/2024 1:21,33.600101,44.619312,42975,0,0,0,,GL5T,1341132.239
4/9/2024 1:23,40.750946,28.882996,20425,0,0,0,THY6GZ,A321,924580.4209
4/9/2024 1:23,28.503616,33.708696,40000,6,6,0,ETH552,A359,1293878.974
4/9/2024 1:29,33.623566,24.853596,37000,0,0,0,UAE143,B77W,1244412.95
4/9/2024 1:30,40.71603,35.803509,37000,0,0,0,UAE150,B77W,1244412.95
4/9/2024 1:32,29.945389,31.914852,16325,0,0,0,,B738,826590.2055
4/9/2024 1:36,28.815416,35.563821,33975,0,0,0,MSC402,A320,1192458.827
4/9/2024 1:39,38.284927,25.895535,39000,0,0,0,,A388,1277603.119
4/9/2024 1:39,40.349854,35.648438,41000,0,0,0,QTR8815,B77L,1309952.621
4/9/2024 1:39,38.863438,42.639954,40550,0,0,0,FIN145,A359,1302744.023
4/9/2024 1:42,28.65537,33.496884,38000,0,0,0,DAH461,A332,1261117.227
4/9/2024 1:45,33.802509,24.662647,39025,0,0,0,TAR5531,A320,1278012.542
4/9/2024 1:47,40.218388,27.811203,35000,0,0,0,TVS86L,B739,1210312.955
4/9/2024 1:48,40.631653,36.546753,39000,0,0,0,ETD69K,A388,1277603.119
4/9/2024 1:51,33.578457,44.681625,38000,0,0,0,,A359,1261117.227
